epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7803,3.01838,5.29254,1.39743,0.00596,0.0588,0.00405,0.00186,2.01521,inf,1.03041,0.000324561,0.000324561,0.000324561
2,111.275,2.21308,2.05544,1.02816,0.73588,0.44843,0.4952,0.23158,2.0426,2.76199,1.0631,0.000651382,0.000651382,0.000651382
3,164.77,2.11603,1.57459,1.02637,0.38596,0.62416,0.35596,0.15578,2.13003,44.9785,1.09676,0.000971602,0.000971602,0.000971602
4,218.448,2.01449,1.45345,1.01203,0.1923,0.02703,0.10122,0.05652,3.8769,inf,10.1647,0.0009703,0.0009703,0.0009703
5,270.926,1.94662,1.2681,0.98241,0.6483,0.64162,0.61002,0.26161,1.92188,2.95499,1.0036,0.0009604,0.0009604,0.0009604
6,323.385,1.9536,1.1966,0.98015,0.86246,0.71945,0.79292,0.37688,1.69883,1.28988,0.97056,0.0009505,0.0009505,0.0009505
7,375.886,1.95055,1.22381,0.98122,0.78838,0.75415,0.80348,0.32762,1.92162,1.1466,1.02986,0.0009406,0.0009406,0.0009406
8,427.61,1.83444,1.08371,0.95522,0.92201,0.78026,0.86495,0.43544,1.66681,0.89662,0.9517,0.0009307,0.0009307,0.0009307
9,479.866,1.82254,1.03623,0.95014,0.9321,0.8284,0.88986,0.43336,1.64499,0.85257,0.95309,0.0009208,0.0009208,0.0009208
10,532.32,1.81871,1.03232,0.95913,0.87484,0.78646,0.85572,0.41841,1.68117,0.96024,0.9533,0.0009109,0.0009109,0.0009109
11,584.797,1.80503,1.01356,0.94581,0.81193,0.89648,0.8876,0.42424,1.67525,0.94371,0.94981,0.000901,0.000901,0.000901
12,637.061,1.78892,0.98694,0.95444,0.9509,0.82663,0.89957,0.40766,1.70496,0.8842,0.94761,0.0008911,0.0008911,0.0008911
13,689.454,1.79576,0.98986,0.93928,0.89933,0.81262,0.87373,0.40669,1.71099,0.86787,0.94274,0.0008812,0.0008812,0.0008812
14,741.629,1.78051,0.93559,0.92995,0.91694,0.85566,0.91913,0.45975,1.58953,0.8467,0.93495,0.0008713,0.0008713,0.0008713
15,794.091,1.74826,0.95948,0.93907,0.93891,0.85406,0.94062,0.48235,1.56194,0.78997,0.92531,0.0008614,0.0008614,0.0008614
16,846.699,1.70152,0.89806,0.92037,0.93299,0.90481,0.94531,0.52095,1.5193,0.76119,0.90629,0.0008515,0.0008515,0.0008515
17,899.206,1.7134,0.89738,0.93024,0.95067,0.9054,0.94647,0.49416,1.56424,0.73307,0.92722,0.0008416,0.0008416,0.0008416
18,951.587,1.65446,0.84141,0.93004,0.95212,0.91316,0.95147,0.49891,1.60001,0.72259,0.92345,0.0008317,0.0008317,0.0008317
19,1003.74,1.70665,0.88699,0.91899,0.92037,0.87002,0.92196,0.45373,1.66642,0.79305,0.94644,0.0008218,0.0008218,0.0008218
20,1056.09,1.6737,0.87357,0.92395,0.97289,0.9149,0.95139,0.50315,1.55632,0.70395,0.9245,0.0008119,0.0008119,0.0008119
21,1108.12,1.6533,0.83387,0.91442,0.94831,0.90118,0.94556,0.52206,1.4891,0.68821,0.90831,0.000802,0.000802,0.000802
22,1160.63,1.65433,0.82103,0.91212,0.95487,0.91047,0.94377,0.51122,1.53591,0.72191,0.91736,0.0007921,0.0007921,0.0007921
23,1212.75,1.61152,0.82526,0.90703,0.95678,0.92399,0.95906,0.50562,1.59481,0.7286,0.9414,0.0007822,0.0007822,0.0007822
24,1264.78,1.59021,0.78001,0.91751,0.9284,0.912,0.93831,0.47565,1.64905,0.72392,0.93989,0.0007723,0.0007723,0.0007723
25,1316.91,1.61822,0.80928,0.90733,0.95028,0.91812,0.94808,0.48835,1.61188,0.70987,0.93294,0.0007624,0.0007624,0.0007624
26,1368.94,1.62493,0.81331,0.91511,0.91022,0.93354,0.95602,0.47728,1.62375,0.72691,0.94119,0.0007525,0.0007525,0.0007525
27,1421.43,1.57464,0.78663,0.90604,0.97546,0.8773,0.94129,0.50699,1.5308,0.71204,0.9197,0.0007426,0.0007426,0.0007426
28,1473.61,1.61394,0.80414,0.89391,0.97009,0.92919,0.95696,0.51452,1.50477,0.69631,0.9181,0.0007327,0.0007327,0.0007327
29,1526.26,1.56411,0.76165,0.9036,0.95514,0.91642,0.96144,0.52491,1.52527,0.67554,0.91369,0.0007228,0.0007228,0.0007228
30,1578.82,1.57046,0.76289,0.90494,0.9692,0.93456,0.97037,0.50424,1.59486,0.69155,0.92753,0.0007129,0.0007129,0.0007129
31,1630.99,1.54777,0.75458,0.90201,0.95901,0.93397,0.96134,0.49545,1.57157,0.69546,0.91786,0.000703,0.000703,0.000703
32,1683.35,1.5579,0.75917,0.89505,0.975,0.95918,0.96866,0.51848,1.50843,0.69095,0.91229,0.0006931,0.0006931,0.0006931
33,1735.53,1.57117,0.77087,0.88723,0.97587,0.91081,0.96071,0.49083,1.63356,0.72396,0.94216,0.0006832,0.0006832,0.0006832
34,1787.71,1.55412,0.74964,0.89515,0.93842,0.92789,0.95529,0.49105,1.66855,0.73683,0.94222,0.0006733,0.0006733,0.0006733
35,1839.87,1.48338,0.71254,0.88273,0.98049,0.91294,0.95485,0.46044,1.65285,0.69735,0.94097,0.0006634,0.0006634,0.0006634
36,1892.04,1.48146,0.69994,0.89075,0.96035,0.92533,0.95076,0.49883,1.55907,0.69369,0.91716,0.0006535,0.0006535,0.0006535
37,1944.24,1.47739,0.70727,0.88662,0.95399,0.91685,0.95291,0.4974,1.57034,0.72829,0.91535,0.0006436,0.0006436,0.0006436
38,1996.48,1.53484,0.72547,0.88936,0.96043,0.91354,0.9651,0.52204,1.51635,0.6876,0.90655,0.0006337,0.0006337,0.0006337
39,2048.74,1.51666,0.71825,0.88199,0.9236,0.91935,0.96003,0.51348,1.56656,0.70433,0.91612,0.0006238,0.0006238,0.0006238
40,2100.9,1.46167,0.70498,0.88653,0.91261,0.95223,0.97042,0.52268,1.53645,0.66541,0.9198,0.0006139,0.0006139,0.0006139
41,2153.15,1.47783,0.69091,0.87828,0.98015,0.95729,0.9775,0.53204,1.50263,0.65099,0.91109,0.000604,0.000604,0.000604
42,2205.53,1.50513,0.73189,0.88243,0.94647,0.93083,0.97206,0.52102,1.5325,0.68039,0.9268,0.0005941,0.0005941,0.0005941
43,2257.76,1.47968,0.70869,0.87338,0.96958,0.93549,0.97166,0.50058,1.64052,0.7064,0.93512,0.0005842,0.0005842,0.0005842
44,2309.95,1.44127,0.68847,0.87956,0.95252,0.92085,0.96898,0.52239,1.54698,0.67595,0.92028,0.0005743,0.0005743,0.0005743
45,2362.19,1.44744,0.68336,0.87155,0.96785,0.93,0.96305,0.47491,1.64596,0.70233,0.93491,0.0005644,0.0005644,0.0005644
46,2414.15,1.40341,0.67655,0.86907,0.96044,0.95148,0.97205,0.49846,1.62423,0.67744,0.92679,0.0005545,0.0005545,0.0005545
47,2466.11,1.42238,0.66384,0.86646,0.9736,0.94573,0.97278,0.51215,1.57428,0.68213,0.91782,0.0005446,0.0005446,0.0005446
48,2518.76,1.39465,0.65499,0.87328,0.97877,0.95437,0.96921,0.51872,1.56463,0.65982,0.91558,0.0005347,0.0005347,0.0005347
49,2571.01,1.38196,0.64393,0.87418,0.98177,0.94483,0.97642,0.52613,1.51324,0.64345,0.91549,0.0005248,0.0005248,0.0005248
50,2623,1.399,0.6625,0.87415,0.95556,0.93046,0.95182,0.50687,1.56662,0.68714,0.92299,0.0005149,0.0005149,0.0005149
51,2675.25,1.37932,0.65994,0.86369,0.96738,0.9472,0.96574,0.53882,1.52261,0.64109,0.91813,0.000505,0.000505,0.000505
52,2727.45,1.39032,0.6705,0.86496,0.96908,0.9373,0.97059,0.50638,1.60015,0.66516,0.9215,0.0004951,0.0004951,0.0004951
53,2779.73,1.34688,0.643,0.86234,0.96515,0.93717,0.96941,0.5055,1.59337,0.66941,0.93084,0.0004852,0.0004852,0.0004852
54,2831.64,1.37927,0.64255,0.8671,0.94229,0.92611,0.95951,0.50919,1.55469,0.65599,0.92148,0.0004753,0.0004753,0.0004753
55,2883.73,1.33953,0.62925,0.8556,0.97471,0.93908,0.96867,0.52058,1.57002,0.6513,0.91996,0.0004654,0.0004654,0.0004654
56,2935.55,1.32841,0.63112,0.86125,0.96436,0.9574,0.97187,0.49523,1.62114,0.64866,0.92252,0.0004555,0.0004555,0.0004555
57,2987.42,1.33041,0.62427,0.86018,0.93562,0.95325,0.96571,0.50618,1.56308,0.64947,0.91771,0.0004456,0.0004456,0.0004456
58,3039.16,1.31018,0.60941,0.86146,0.97058,0.95982,0.97613,0.53118,1.51103,0.62235,0.91302,0.0004357,0.0004357,0.0004357
59,3091.12,1.28774,0.59328,0.85421,0.97431,0.95472,0.97216,0.53792,1.49311,0.61126,0.90529,0.0004258,0.0004258,0.0004258
60,3143.07,1.30125,0.60541,0.85365,0.97494,0.97229,0.97644,0.51854,1.56972,0.61631,0.91855,0.0004159,0.0004159,0.0004159
61,3195.12,1.30482,0.60544,0.8565,0.97053,0.95842,0.9662,0.53178,1.54474,0.61128,0.91669,0.000406,0.000406,0.000406
62,3246.84,1.30382,0.62021,0.85214,0.9694,0.95781,0.96982,0.51138,1.60603,0.62194,0.92216,0.0003961,0.0003961,0.0003961
63,3298.78,1.27113,0.59286,0.85014,0.98249,0.94786,0.97018,0.53231,1.52327,0.63046,0.90539,0.0003862,0.0003862,0.0003862
64,3350.61,1.2655,0.59872,0.85039,0.93553,0.96369,0.96999,0.52849,1.54458,0.6208,0.91665,0.0003763,0.0003763,0.0003763
65,3402.67,1.25557,0.58644,0.84545,0.99008,0.92903,0.96829,0.53156,1.51755,0.62158,0.91266,0.0003664,0.0003664,0.0003664
66,3454.33,1.23226,0.58279,0.84443,0.97348,0.95534,0.96211,0.53699,1.52277,0.61209,0.91514,0.0003565,0.0003565,0.0003565
67,3506.28,1.21746,0.57156,0.84802,0.97761,0.96043,0.97291,0.5233,1.60644,0.61784,0.9274,0.0003466,0.0003466,0.0003466
68,3558.49,1.21832,0.56695,0.84954,0.97693,0.96999,0.97451,0.54822,1.49566,0.59353,0.90621,0.0003367,0.0003367,0.0003367
69,3610.86,1.21711,0.57145,0.84078,0.96555,0.96847,0.97473,0.51863,1.59597,0.61107,0.92355,0.0003268,0.0003268,0.0003268
70,3662.68,1.19993,0.55029,0.84307,0.97642,0.95399,0.97718,0.53135,1.55467,0.6081,0.91617,0.0003169,0.0003169,0.0003169
71,3714.5,1.17225,0.5516,0.83676,0.97882,0.97386,0.97932,0.53045,1.54424,0.5973,0.91447,0.000307,0.000307,0.000307
72,3766.08,1.19245,0.55802,0.84018,0.96961,0.96533,0.97185,0.52975,1.56919,0.59698,0.91469,0.0002971,0.0002971,0.0002971
73,3817.92,1.16805,0.54946,0.84223,0.96352,0.97248,0.97018,0.5419,1.55773,0.59966,0.91976,0.0002872,0.0002872,0.0002872
74,3869.61,1.17184,0.55141,0.83575,0.96405,0.96412,0.97515,0.54323,1.53626,0.5895,0.90789,0.0002773,0.0002773,0.0002773
75,3921.88,1.14784,0.54307,0.83316,0.96624,0.97494,0.97312,0.53163,1.56045,0.60747,0.91041,0.0002674,0.0002674,0.0002674
76,3973.73,1.13555,0.53651,0.83174,0.96784,0.94123,0.96381,0.54047,1.49931,0.60934,0.91142,0.0002575,0.0002575,0.0002575
77,4025.76,1.11871,0.53044,0.83229,0.97728,0.94337,0.9754,0.54664,1.52363,0.59514,0.9166,0.0002476,0.0002476,0.0002476
78,4077.68,1.11659,0.52116,0.83384,0.96391,0.95065,0.96614,0.54043,1.55968,0.58034,0.9248,0.0002377,0.0002377,0.0002377
79,4129.44,1.09711,0.51444,0.83206,0.96565,0.95894,0.96624,0.53727,1.55466,0.58406,0.91451,0.0002278,0.0002278,0.0002278
80,4181.44,1.10132,0.51307,0.83633,0.96493,0.96099,0.96966,0.51873,1.6009,0.59208,0.92749,0.0002179,0.0002179,0.0002179
81,4233.36,1.10068,0.50743,0.83514,0.97234,0.96506,0.97448,0.53247,1.55266,0.57456,0.91477,0.000208,0.000208,0.000208
82,4285.22,1.06721,0.5048,0.82726,0.96656,0.97391,0.97438,0.53963,1.53306,0.57749,0.91848,0.0001981,0.0001981,0.0001981
83,4336.95,1.09892,0.50699,0.82829,0.9784,0.97869,0.98297,0.53453,1.56878,0.56772,0.92501,0.0001882,0.0001882,0.0001882
84,4389.01,1.06296,0.49531,0.82293,0.97976,0.97257,0.98226,0.53813,1.54209,0.56822,0.9209,0.0001783,0.0001783,0.0001783
85,4440.95,1.03606,0.48556,0.82594,0.976,0.96806,0.97872,0.53652,1.56355,0.57042,0.92054,0.0001684,0.0001684,0.0001684
86,4492.86,1.02428,0.48912,0.82226,0.98322,0.95891,0.9794,0.53887,1.54361,0.57085,0.91551,0.0001585,0.0001585,0.0001585
87,4544.75,1.05409,0.49931,0.8176,0.9792,0.94245,0.97952,0.54914,1.5025,0.56594,0.90438,0.0001486,0.0001486,0.0001486
88,4597,1.03469,0.48408,0.82895,0.97888,0.96526,0.97859,0.54423,1.51353,0.56557,0.91307,0.0001387,0.0001387,0.0001387
89,4649,1.00479,0.47708,0.82277,0.97697,0.96286,0.97117,0.54492,1.52699,0.56924,0.91257,0.0001288,0.0001288,0.0001288
90,4700.93,1.00097,0.47576,0.81785,0.98114,0.95935,0.97709,0.53707,1.54404,0.57064,0.91459,0.0001189,0.0001189,0.0001189
91,4752.27,0.97733,0.45814,0.83462,0.9768,0.96827,0.98045,0.52165,1.54363,0.5735,0.91903,0.000109,0.000109,0.000109
92,4803.32,0.95274,0.44165,0.82936,0.97663,0.9629,0.97861,0.52965,1.56639,0.56738,0.92314,9.91e-05,9.91e-05,9.91e-05
93,4854.53,0.94131,0.4407,0.8233,0.9752,0.96957,0.97893,0.52583,1.57481,0.57333,0.92881,8.92e-05,8.92e-05,8.92e-05
94,4905.7,0.9345,0.43651,0.82464,0.97517,0.97375,0.97877,0.52589,1.57799,0.57073,0.92839,7.93e-05,7.93e-05,7.93e-05
95,4956.85,0.92631,0.43053,0.82196,0.97636,0.97415,0.97735,0.536,1.54905,0.56513,0.92315,6.94e-05,6.94e-05,6.94e-05
96,5008.18,0.917,0.42852,0.82051,0.98102,0.96939,0.97885,0.54887,1.53554,0.54874,0.92391,5.95e-05,5.95e-05,5.95e-05
97,5059.3,0.90746,0.42059,0.81822,0.97271,0.97388,0.97923,0.54794,1.5506,0.56131,0.92519,4.96e-05,4.96e-05,4.96e-05
98,5110.59,0.89697,0.42257,0.82348,0.97397,0.97026,0.9799,0.54575,1.55784,0.55627,0.92391,3.97e-05,3.97e-05,3.97e-05
99,5161.9,0.877,0.41685,0.81772,0.97869,0.96578,0.97847,0.55295,1.55857,0.55714,0.92393,2.98e-05,2.98e-05,2.98e-05
100,5213.3,0.86759,0.41589,0.81947,0.97704,0.96658,0.97816,0.54496,1.56713,0.55758,0.92694,1.99e-05,1.99e-05,1.99e-05
